station_id,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20
c7d58812e5bcf9183e20ec387d0386a9,"('jqbikhp9VZck4drJvGgeFw', 37.807775, -122.265183)","('SLQmdXCJlphPZvjNLL0CPw', 37.8083717308765, -122.263949430908)",,,,,,,,,,,,,,,,,,
ade8fb7d8bab829cc6b2b752c02882ff,"('jToTQStksqPPbcinvUqhlA', 37.8113694419706, -122.24299026164636)","('yr4JZasH36fAQVF_EgKwNw', 37.8111165761948, -122.243123576045)","('Q7RiDz9I2PpltrOnnIfDyg', 37.8111248464845, -122.2436472)","('FbwDeMgaZnGwLUKWh2DZbA', 37.81159, -122.24264)","('AJ9g52lYXNFp0gOKMaegKQ', 37.8112533, -122.24340990185732)","('VTWP6urYgWFVL4nKs4y5Yg', 37.8104374, -122.24417601381596)","('6rm6ThmwvLzzcE2BL6xESw', 37.811174, -122.243426)","('opek19IuDjUH1eSt2pnT-w', 37.8114607, -122.2426064)","('fbxCP8Da6RK5m6tc0Jr_jw', 37.811488, -122.2429)","('hfVYUuJRS7Q4rgNVHCB0Rg', 37.81059, -122.24366)","('70ouGEuAMtq8sHuZ1rNVxw', 37.81052, -122.24381)","('rTWCRx47a9yORkoDpc6iIQ', 37.86663, -122.259995)","('pYmxRpLywA93u3hJSAyZyg', 37.8106217795691, -122.243926227093)","('7riqoD4pIgG3mTcUPbe4iA', 37.8262288, -122.2105452)","('QwW68IFcGGufx13VBG5TkA', 37.81140336943842, -122.24237007965452)","('7pmwRZHGCVK-PA3g2zySVw', 37.81140336943842, -122.24237007965452)",,,,
3a9baba8738c921ad820add914d8d365,"('cWXWnnQvtBvKWz8CLylJtA', 37.8087653, -122.2555499)","('tigDrtlMEgyW2kaOac1NWA', 37.8091267703572, -122.256358936429)","('_j4K-IdaVd39jvqkPP_N0w', 37.809411, -122.256434)","('12Bm6xqJz8w5F_jmReh6Jg', 37.809216, -122.256342)","('b9gCiuBV3bWah3_HbfCjww', 37.80928891900069, -122.25652167835342)","('MQEq1IRbtLNktXsVwtnxYg', 37.80895, -122.25612)","('i-hae3Yu-Mt3yweyfyU_Og', 37.8088417, -122.2563553)","('3UAvaD-J_hsT_1VN-aam7g', 37.8089221060393, -122.256052318625)","('KyiMMUHEvcPtuTof2wa0xA', 37.8090259066112, -122.257532092895)","('XwXh0fO2ZGyKiSiw04hk1Q', 37.8093420028121, -122.256065798148)","('Ncev9Cz35J334sf6nrkUyQ', 37.8086305, -122.2560384)",,,,,,,,,
8870d1c76fa018d1758fad83f2be5237,,,,,,,,,,,,,,,,,,,,
a840a66dcf537eb53ff86c7ed469f491,,,,,,,,,,,,,,,,,,,,
315bd655b7cf06f4cf2e3c78879043e4,"('L7I_bhmMacR1lcVUuWwuKg', 37.8126641, -122.2473585)","('fb639mjlUemj52Pg9cYDVQ', 37.8124796, -122.24695654)","('3ChtOLBpSZLpk3Q7uwp1Ig', 37.812848, -122.246734)","('VR2vxLt3a-M4QM0FCeksXg', 37.8119459, -122.2481638)","('zJtun46FWqG2k6cwPEFpxw', 37.81255, -122.24743)","('GLuhmCGyP6g6AQiSanbBPw', 37.812494333, -122.24704883)","('NJ3mCdzI4H74rMKiltpbew', 37.81197, -122.24723)","('cXCv5nR9P_tXeusN0Ahibg', 37.81235, -122.24701)","('P9sfUsFZeM1a-K2f7Nruwg', 37.81198, -122.24724)","('zj0W7A7EFCxqZAChX_NwPg', 37.8127050472056, -122.246782109141)","('Ed-60CtiaPDXznP_FlNS7g', 37.81317, -122.24723)","('dLEQMKBYIPCUQcVsXihAww', 37.81348, -122.2471)","('j14YYFk2texRwiIICFxDAg', 37.81321, -122.24646)","('GRLzNPPeCmU9giOjDcju3w', 37.81305332214538, -122.24671861613533)","('jqqvjGr780DiD-AeZA-nkA', 37.81359, -122.24704)","('dzUrIdrkUF4i6vGSA2JdEA', 37.81346, -122.24631)","('-ar3Lwi7S2R-ymq9vO8-sQ', 37.8120395, -122.2477332)","('4KhzGYT3CpkrdnT6wKjmrw', 37.8135795593262, -122.246231079102)","('-QXGhE7FQ2_DkdfycbcVLw', 37.8128, -122.24672)",
c58c5e00d5caeb09fab3509a349ac2ce,"('j3v6vt54RIsWt5VKPl0Ubg', 37.8555262, -122.283178)",,,,,,,,,,,,,,,,,,,
55389695e3090fea977edbe85a0b7dfc,,,,,,,,,,,,,,,,,,,,
81cc789c1070340c1930450769536ea2,"('6AicBjhg72BroB7yJhIRgQ', 37.85707, -122.26739)",,,,,,,,,,,,,,,,,,,
155125eff6270d14ae62b26c85f15ce3,"('SqLk3mvcPCf3DZmZsE1GZg', 37.34321, -121.88932)",,,,,,,,,,,,,,,,,,,
2bef6d41ec5018bb81726f3e1f59d344,"('F3Pycq08OR10mUYizSSlgQ', 37.33153, -121.91265)","('uFo8L7O6Vz5kjvEirofwkg', 37.331958172560434, -121.91293644840712)","('dq4h5hqzll5uheqBbahkkw', 37.332341, -121.912665)","('Mw1Ulls_bRgwEX2LsPiWVw', 37.3323869, -121.9127265)","('4aY_Jc8xxxnI5Bp8d78jRQ', 37.332048915977, -121.912977980376)","('lRVGEFenuMOA8ld-3HwcPg', 37.33149021523051, -121.9124315686593)","('ogb0Fb6T0t60ls16jED3jw', 37.33284849720854, -121.91200208427284)","('2RbXrmbg-yK3XpIo3SS8MA', 37.333100595447426, -121.91349833785311)",,,,,,,,,,,,
98374aab7a1553d232630758717d87a7,"('LG-PMU_e1xOdEuNB9TRBSA', 37.3319882, -121.9054482)","('tyr85X7PWdx54LOVzLzjAw', 37.33160866072895, -121.90553722829216)","('ijk4j_rohOCiPauEMxo1Rg', 37.332295, -121.904991)","('Z_46ayoF9-CGvPI1krs92g', 37.332295, -121.904991)","('uHJp0fNvumV4QdtwMpLE-Q', 37.3312921822071, -121.904619410634)",,,,,,,,,,,,,,,
ead93e0002db0611076fb2d63f76ce05,"('I-1l3unxDVaEOpUqSgNj1A', 37.33935702614609, -121.88395663107823)","('DaWlmMBzxa2DV69OtWEalw', 37.33904, -121.88383)","('fuQOU_6-sjCuitcCvtYOvw', 37.33918, -121.88356)","('_uizCNXF1J2VxEKfG2Yhgw', 37.339545, -121.884187)","('Z3u7ibyvHKcIo8_00ENYFA', 37.3394645, -121.8841203)","('b-MMFixPemOracmKhqo1aA', 37.33887679779805, -121.88371806838435)","('yMrkRXOqWbYeGkzUWck6DQ', 37.3393440246582, -121.88321685791)","('0A1JcAan0HzEMxGOOutEaA', 37.3385, -121.884881)",,,,,,,,,,,,
3b360d106be2aeada021d0498be74fd5,"('UzMD1XH5TcxYp-CaORJCXg', 37.32132, -121.87572)","('LKEJpr8PqCv5tIVeZD1JPA', 37.3204304724194, -121.876571886241)",,,,,,,,,,,,,,,,,,
62e21ee5590d59c9e7d740bf16a06bd3,"('pq3l9iZBT1P_fv4H4S01wg', 37.7631378431423, -122.426542719978)","('OYZcmtSBa3EB5RxY11JJGA', 37.762897, -122.425613)",,,,,,,,,,,,,,,,,,
2b14980ea8a5986da568e3711ef9cf95,"('_PEiTpmT2gGp5cObcnKRPQ', 37.767008, -122.3901191)","('zuoDZCkje19FnAP5yBUY5A', 37.76635, -122.39019)",,,,,,,,,,,,,,,,,,
147b91431e228c6275b040c2cd4d05aa,"('nS2WlSB9oTM1FZjM_-hcOA', 37.7835036, -122.3990620884164)","('PEswwJYnalFV_NpsB994bQ', 37.783496, -122.398842)","('0LVKwqqzwiUnGtKFo7f6AA', 37.7834151615544, -122.398016998777)","('rOp_TipNONYQlRCunZLJHw', 37.7842349, -122.3992112)","('Uz3v2clA6hFtdCOkfpCkbw', 37.78462, -122.39845)","('JtB6ja0K225a7dkfPLkRiQ', 37.7840836132872, -122.39831333801)","('IzRVZB6EuoizmnwAFy8siQ', 37.783286429562615, -122.39791483183592)","('-2d34s736gxBUKu1320zzg', 37.7846899035838, -122.399646360651)","('VGnEWaPzjwSPuOIe20wNYg', 37.783487, -122.398832)","('FxsEfSC36XImmSgzmQxgGg', 37.7838266, -122.3986538)","('dnCpF-MtdvAlFSViWS1w4g', 37.7837889218999, -122.398967392638)",,,,,,,,,
2e148870409210e664005a58263b186a,,,,,,,,,,,,,,,,,,,,
3cfc266f34c8daf3fa59119deca078ea,"('r4FWkVIwx-n2DMkI0k5PRg', 37.7316655, -122.4510301)","('X_5dfcVeiElSE12jWbbwQg', 37.7318077087402, -122.451293945312)","('OdO-B4spWQQMgu58-WbozA', 37.73123, -122.45159)","('wjqh--9GiLbCc5q-zeqLfw', 37.73124, -122.45039)","('N2aC6__-NJ2GmDiUaxHqTg', 37.73125, -122.45133)",,,,,,,,,,,,,,,
b1385ff2e23b82e61c668a9fc8275142,"('DWKZS53O-9WnH4IQvbTk6A', 37.799342, -122.266528)","('jT4zkOsVdpuFzEr_e1qrgQ', 37.7998462, -122.2667726)","('hnwOMxt4_n-rAVjzkLLdpg', 37.799312, -122.266434)","('GJR9tecazWvaAcQC3L6uNg', 37.799290354192586, -122.2663192)","('oYXRWzung575mrLYS9JVYw', 37.79922, -122.26613)","('2dTEKBO4Q-_1D_3vKp9k2w', 37.799283, -122.266593)",,,,,,,,,,,,,,
0dea2fc1c8cc19369db493d2278fbbbc,"('GjEldsBA605bPDYiGLd4UQ', 37.8067932, -122.266922)","('rK3_wXyrjojAP9geS-8V7w', 37.80675, -122.267165)","('CYrhzXXVDT_oCOOPv2fHnA', 37.80609, -122.26664)","('9BMstoaCsPi0oFuOO3FchA', 37.80758, -122.26718)","('JbL6jiTBFZSVwUAlw5Xiag', 37.8069308, -122.2675353)","('PlcDyo--Wq-fLSPvmaKb5Q', 37.80663085, -122.26650586)","('V23RBsXd2PNc0udFtpoYUA', 37.8072355, -122.2673205)","('UQiHNnc62xhT-wkAnTq3iw', 37.8067785, -122.2668899)","('DNCO1IKqKeZIvr6TyhDzaA', 37.80664115111624, -122.26635074472222)","('N9rE0RzahaWdP2OANKDPxg', 37.8073936700821, -122.26766243577)","('u8HqWVsJ7XID2uR59MgT6A', 37.8070382, -122.2668014)","('cBXepWEyhY8z4x5dJOXPSA', 37.8070581292989, -122.267338359173)","('QfYpegINMBxugy_7hca9OQ', 37.8073570365956, -122.267425060272)","('2JDv2GWg3kIQVUirAXSB4A', 37.80758, -122.26718)","('YXV0DTi3RYYFWaT7gpyJIQ', 37.80677, -122.26564)","('8TOLDkRbGh_hVixfcdQ6lA', 37.80654931621579, -122.266137)","('WXPZ3cagaHGiJx5h26dqAw', 37.8077400719267, -122.266949974)","('Mf5LJQVDnWCIeF8m1ocCPA', 37.80677, -122.26564)","('JSDVnw8RkpY2RDj8bxLyjQ', 37.807027, -122.267439)",
28754859653e0a656ba53e1fa0ea21db,,,,,,,,,,,,,,,,,,,,
eb9c95aaf839b9c7e8b18e68288862a3,"('u9r9s9sOnf9BGwIaSzJa6A', 37.77095, -122.3992175)","('gEK0xW0w_AkjOejQwjgxPQ', 37.77130768967822, -122.39863204171648)",,,,,,,,,,,,,,,,,,
d057730bd39a7e2c920ff32d19393eb6,"('WpcWACqlAodx5dbe5GJWZA', 37.7706719094861, -122.402888577285)","('TJZLyTUqtwgsXS439U641w', 37.77039, -122.40269)","('P3bTmEqA5yRiiOCD3KoFeg', 37.77039, -122.40269)","('7l08BlpF1sF_AZsEVkVuIg', 37.770681, -122.402716)","('smvMZKoFS3x5L02UcYFAEA', 37.7702082, -122.40220591620208)","('9jQOrRXs5yBvVQyyTl-_zg', 37.77037838626581, -122.4032115)","('N_0oOV4x0niBfrU4-T5hFg', 37.77023219999999, -122.4033968)",,,,,,,,,,,,,
bafbf8c2ef10271c489e9ab99dc9bd21,"('fQnZOeyEY5LKhbzd-q2i0Q', 37.772858, -122.392855)","('6BHYuh_vtjjqnG4i9ijnGw', 37.772245171593, -122.392538140793)","('DvmgdY_ZVuzL3uM16RJaWw', 37.771806, -122.394187)",,,,,,,,,,,,,,,,,
2c505c45b2e849f1523a243b73a34daf,"('v6iAL-bM8rjkL1E7jIItXw', 37.7662780850621, -122.430849708617)","('UYNswbdsQ5OvwnyY9esxCw', 37.7666182758937, -122.430262778253)","('baBm-bI_vUV2BmWe-ZdkgA', 37.7658011, -122.4315507)","('RAsVY6U8yjHfkWK7t8HNUw', 37.7662959, -122.4308639)",,,,,,,,,,,,,,,,
840924c8e286486604f62ef9c02ef185,"('I0KkA7tnubxE0SAbgIrSPg', 37.871764, -122.272842)","('t_flm6D8DvgrXpnrlv8_Fw', 37.87182796022107, -122.2723835)","('D_v58mPWEd7BH2qmLWzteA', 37.87196, -122.27209)","('Qv9uCarXHARRCmMvXFzalg', 37.8717675504509, -122.272785276959)","('GQnXtvssGFMmWhY6QjrBJg', 37.871143, -122.2727818)","('_I8M5Zagyabhy6bgIvdhuw', 37.872194, -122.273316)","('D22DuxR3TN5gx4DfuzgByw', 51.6802139282227, -2.48856425285339)","('rrlC3HVOHlzP_twwguunxA', 37.87193442486674, -122.2728455)","('HCC3Ops6UjN429UGq9Fxgw', 37.8715926, -122.272747)","('whWhOt3-NLXuN70QEjiUDA', 37.86988, -122.27054)","('wkRy8_LYtnisbk7skfciWQ', 37.8715926, -122.272747)",,,,,,,,,
9aabe0cff5a5e7c6b014dd2c163f1ebc,"('YawEBe-JjF9hpyKmESkT9A', 37.77795, -122.2259)","('jAhyN-pAS6i-XMbRjDyb1g', 37.778491973877, -122.225723266602)","('nQ1-rU1fGdzISKsAGfX_HA', 37.77788, -122.22536)","('SCqYD2RoSFUPhCbtsfSSOw', 37.77839, -122.22576)","('FjKxMEIJaRqAaGhmYxkgWw', 37.7772112, -122.2247029)","('f15zZKt4UU6EwlccUfqywQ', 37.77769, -122.22538)","('qkR3-ixWpLn5AtgTTYJbvg', 37.77827, -122.22582)","('TqlKxhg6ShCyDBlkB-IoEA', 37.7787437438965, -122.224853515625)","('7kAWx3EnwGWuLbQNBUZxDQ', 37.778612, -122.2250819)","('ke_1ETZfvS-ptDtwgKwEhg', 37.777494, -122.226374)","('pNNcZq8Qx5FQ3mM3qhr5zg', 37.7782399, -122.22516)","('Z2xkNUrYprQ-2fPPY-NnyQ', 37.777306, -122.225708)","('gDWPJ_vj2h0ONTMCPPfZag', 37.7782399, -122.22516)","('q4Fg1cLRw4jzMmo-1mHh9Q', 37.7777047103746, -122.225891053677)","('B_DLenGfVaZNuaTypYpC_Q', 37.7772396057844, -122.224958986044)","('03alLt5wKv0iEMklF-ZvSA', 37.7774696, -122.2234421)","('0EaJkrXGQVLbcMnM2vs16g', 37.7776643, -122.2258109)","('90jtIs9EJX2Oi7e1xZAXqw', 37.77720039985255, -122.2263634)",,
6990760eb8be3fa93313672d7be369e6,,,,,,,,,,,,,,,,,,,,
55f0ed0965a5a80f451700832338cd49,"('4a-VV_CbVMZQ8Wh4yfXT3g', 37.77538, -122.22394)","('nEqckxdEA3Ebg9o_UXPWqw', 37.776048426054906, -122.22437557330238)","('XUpzZR5GoFkTYI5PXhXN6Q', 37.775358, -122.224312)","('ap1nzOspyzBxQXowIU8PJw', 37.77564791972965, -122.2245222727823)","('kXr4OrFFupPt69muMpdFzw', 37.7760581970215, -122.223419189453)","('DlG-tn6kCp4vHGF1NQiGYw', 37.7757466, -122.2244063)","('vcAl07ym1jhX6L7xkNsG4w', 37.7760235009049, -122.224617233689)","('2Q96UKpymqU1oJl80FLTpw', 37.7760555, -122.2237464)","('CbdyjjjiUgACbBXiPcAoFA', 37.775891, -122.224805)","('JOJ650i-x3U1eZNJTuRgyA', 37.775857, -122.224793)","('nCbIZwgl47Z2RTM9WJFOEg', 37.7762183, -122.2232533)",,,,,,,,,
726e22d3f8e5b2f3b21230c49aa676c8,,,,,,,,,,,,,,,,,,,,
bd6bf51c4defa1eba0c9bdbc8478b3ce,"('Xb5IOfrx6iehMhipzTlQJg', 37.8061983823568, -122.276029586792)","('mszw6ztbPvtRObgZhxPjrg', 37.80612, -122.27645)","('bdfCmpQtEWBeofVWPrzFHA', 37.80575105154199, -122.27520960169952)","('KAHuF_-uQpyAajN8OjYp-w', 37.805608, -122.275195)",,,,,,,,,,,,,,,,
c0c37f106fa8f27da58b777b7681f9a8,"('wxzx3duu1c0CcomzEOvfOQ', 37.7438, -122.422035)","('olOldyL0jSpDuZE0tELVcw', 37.74397, -122.42051)","('jYSVfNGkkO9SOdYmcLot_w', 37.744422, -122.420981)","('0A_ZUL5r8wwL1oWnzmqSog', 37.74420900000001, -122.42098667455524)","('xfGxyVapMNlAlqQULvyG5Q', 37.7440758, -122.4223022)","('cIkwt0L2Xsp8tzGL0uKajg', 37.74414688791179, -122.4206480480593)","('TqGrcmC96h-xLpDfW99BAA', 37.7437815, -122.4209123804622)","('mL6McYFYvPmucI4zTZbQAA', 37.74363, -122.42132)","('QEHWv5YhZ493DhUIV56Pxg', 37.743242142106965, -122.42115325980453)","('fbQ0bDTIk9fQg3WAHQ8q4Q', 37.7440747, -122.4223189)","('XiWvkus_NeinCez66eFJbw', 37.74368, -122.42069)","('HGANiSkXUTEEX50Xhtz_5Q', 37.7436278695822, -122.421432494205)","('uT8e6x2qzJFoZ9ndi-LLrQ', 37.7443758398294, -122.420779690146)","('T5rDIxHBtu04GQUSCcjiJA', 37.7434, -122.42167)","('JQPJ5FhcXomdNq_uTvdy-g', 37.7439692, -122.4211583)",,,,,
446009f5d7c3932df1a0215e04df9891,"('8oVK6iM82dBTFLb10LYkBg', 37.747497, -122.410663)","('WKEFt4vsfJrIrUIpXUXhSA', 37.74709621508451, -122.41046186584737)",,,,,,,,,,,,,,,,,,
caee8a5f24d36ec088093ba35c67492d,"('Mdo9xSfWeTwi4IJli-62oQ', 37.74355, -122.42693)","('lNJ3QmAcDWhZlYQqA3dAbg', 37.7439481975966, -122.426462422674)","('CGhIrUZW4MVprvgqhI222w', 37.74307, -122.42689)","('t0nXh1Nj5WIhg2CZDGyktA', 37.74341, -122.42692)","('3swOgxzZiJTBtxgoHR8QvA', 37.74396, -122.42647)","('e1GZv2Anetzv0WbHpMG_ng', 37.74307633545622, -122.4268214596737)","('J9Eq6n3XEqhkiCfKdNVTpQ', 37.743903, -122.426312)",,,,,,,,,,,,,
bafd382d63b84005dec3dcfc5a326e98,"('hJ8f0YxyS3fSI4r99oGDrQ', 37.74543, -122.42252)","('8m5z59yrLQALuBgbRmJKaQ', 37.745543, -122.422057)",,,,,,,,,,,,,,,,,,
d63f2433c8e67e0db4df7a87e5fb38e3,,,,,,,,,,,,,,,,,,,,
5a3ef6c03f1ce19c588c078270170a18,"('BbUZdItwH7d2J14eo67krA', 37.829180500000014, -122.2878511)",,,,,,,,,,,,,,,,,,,
7e709245031d51963a79004362950401,"('eQflU8J9_y1W0JXOJy_eJg', 37.83089, -122.28593)",,,,,,,,,,,,,,,,,,,
ad0fd1e1100453a35d7ce5e5d95e4779,"('b3mmxh_9aw25vkMmujG9jQ', 37.7552226240977, -122.420739139635)","('XfCNLaKKv962moH9uQudhw', 37.7552, -122.42078)","('QueFVMcMlT-6aZFv2M47mg', 37.75472, -122.4212)","('jU7vhPz-vUmjMlxMf9cTXA', 37.755952, -122.421328)","('NGPpY1rZSuWZ7Sqdi43mCQ', 37.7552018, -122.4203735)","('Yq4TjSPkVnA0H92ej2LK2A', 37.7546315, -122.42108646195322)","('mxklgb9anKRXLhHMWN2qcw', 37.75515, -122.42065)","('M4G48CR-n5ns-LmGyuLrwA', 37.75548, -122.42068)","('maAQS_2-3GQtmFVRJCt_2w', 37.75530527713593, -122.4203797)","('yNiYJWHLxMrryH0xi_2r2w', 37.755471071506, -122.42051075568)","('9kqooKOcH_o-KuumqAGIpQ', 37.75585, -122.42066)","('yF3rW4lNrdPyIzsxNNR8EA', 37.754682, -122.421184)","('nmtqc0suF9Hd34iHU0Gj-A', 37.75452, -122.42053)","('DzoV-NeHuaNP9lHaWlx4rA', 37.75446, -122.42119)","('vV2jpj3cNmeMqEJszGDWCQ', 37.75578, -122.4213)","('cWOB0X_oOXC9Lt9tH3w6zA', 37.754805, -122.420624)",,,,
d54612ee1577923ef1aef60393aa07c7,"('TK-94feX2HwZz-wtIiGJJg', 37.751825, -122.427164)","('dgOM7j47ta8oAjQun6NC_w', 37.751624, -122.427602)","('V-5v17F7IlOLxEyDtCSESw', 37.7515, -122.42768)",,,,,,,,,,,,,,,,,
689893116ddb1b8dfab61c092330b00a,"('D1GB7el1CaX-22CkX94zfw', 37.75264, -122.4209327)","('ZPVCTXm4olsIEk4rWwAIWQ', 37.752250817471, -122.42045135982)","('PrWfPL4dmI9xxDNnstidqQ', 37.75252086446065, -122.4210213)","('U25d7RZPlu12UxXHZModkA', 37.75281, -122.42101)","('_2_1FQO_DGzeCTky0x9DQA', 37.7525579243294, -122.4210748)","('jwb3vTh8rn3OsN9wlI56-Q', 37.75194, -122.42094)","('88lJSyKNMWLKPYeGh0g3Yw', 37.7530623177549, -122.420727499545)",,,,,,,,,,,,,
96bae776dd2cf75e6ed06895761636af,"('V4snptRiaRBAM1g_hN_gmQ', 37.750215, -122.427556)","('o_RrotFuc4fcaYBU2TTFuw', 37.7518310546875, -122.428329467773)","('dgOM7j47ta8oAjQun6NC_w', 37.751624, -122.427602)","('V-5v17F7IlOLxEyDtCSESw', 37.7515, -122.42768)",,,,,,,,,,,,,,,,
22e24861b62c61aa3c99d47cd90095ce,"('IRD_9JUjR-06zztisuTdAA', 37.78781, -122.39409)","('u1qumXEGzdxzl0lM3Sjf9Q', 37.7867851257324, -122.394218444824)","('aY86NFytjreSFHkgfJO-Uw', 37.78798, -122.39386)","('PqTsvyFcuIqqE7MknR091g', 37.7866787, -122.394394)",,,,,,,,,,,,,,,,
